1,(UTC-11:00) Coordinated Universal Time-11
2,(UTC-11:00) Samoa
3,(UTC-10:00) Hawaii
4,(UTC-09:00) Alaska
5,(UTC-08:00) Pacific Time (US &amp; Canada)
6,"(UTC-08:00) Tijuana, Baja California"
7,(UTC-07:00) Mountain Time (US &amp; Canada)
8,"(UTC-07:00) Chihuahua, La Paz, Mazatlan"
9,(UTC-07:00) Mazatlan
10,(UTC-07:00) Arizona
11,(UTC-06:00) Saskatchewan
12,(UTC-06:00) Central America
13,(UTC-06:00) Central Time (US &amp; Canada)
14,(UTC-06:00) Mexico City
15,(UTC-06:00) Monterrey
16,(UTC-05:00) Eastern Time (US &amp; Canada)
17,"(UTC-05:00) Bogota, Lima, Quito"
18,(UTC-05:00) Lima
19,(UTC-05:00) Rio Branco
20,(UTC-05:00) Indiana (East)
21,(UTC-04:30) Caracas
22,(UTC-04:00) Atlantic Time (Canada)
23,(UTC-04:00) Manaus
24,(UTC-04:00) Santiago
25,(UTC-04:00) La Paz
26,(UTC-04:00) Cuiaba
27,(UTC-04:00) Asuncion
28,(UTC-03:30) Newfoundland
29,(UTC-03:00) Buenos Aires
30,(UTC-03:00) Brasilia
31,(UTC-03:00) Greenland
32,(UTC-03:00) Montevideo
33,(UTC-02:00) Mid-Atlantic
34,(UTC-01:00) Azores
35,(UTC-01:00) Cape Verde Is.
36,"(UTC) London, Edinburgh, Dublin, Lisbon"
37,"(UTC) Coordinated Universal Time, Greenwich Mean Time"
38,"(UTC) Monrovia, Reykjavik"
39,(UTC) Casablanca
40,"(UTC+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague"
41,"(UTC+01:00) Sarajevo, Skopje, Warsaw, Zagreb"
42,"(UTC+01:00) Brussels, Copenhagen, Madrid, Paris"
43,(UTC+01:00) West Central Africa
44,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
45,(UTC+02:00) Minsk
46,(UTC+02:00) Cairo
47,"(UTC+02:00) Helsinki, Riga, Sofia, Tallinn, Vilnius"
48,"(UTC+02:00) Athens, Bucharest"
49,(UTC+02:00) Istanbul
50,(UTC+02:00) Jerusalem
51,(UTC+02:00) Amman
52,(UTC+02:00) Beirut
53,(UTC+02:00) Windhoek
54,(UTC+02:00) Harare
55,"(UTC+03:00) Kuwait, Riyadh"
56,(UTC+03:00) Baghdad
57,(UTC+03:00) Nairobi
58,(UTC+03:30) Tehran
59,(UTC+04:00) Tbilisi
60,"(UTC+04:00) Moscow, Volgograd"
61,"(UTC+04:00) Abu Dhabi, Muscat"
62,(UTC+04:00) Baku
63,(UTC+04:00) Yerevan
64,"(UTC+05:00) Islamabad, Karachi"
65,(UTC+05:00) Tashkent
66,"(UTC+05:30) Chennai, Kolkata, Mumbai, New Delhi"
67,(UTC+05:30) Sri Jayawardenepura
68,(UTC+05:45) Kathmandu
69,(UTC+06:00) Dhaka
70,(UTC+06:00) Almaty
71,(UTC+06:00) Ekaterinburg
72,(UTC+06:30) Yangon (Rangoon)
73,(UTC+07:00) Novosibirsk
74,"(UTC+07:00) Bangkok, Jakarta"
75,"(UTC+08:00) Beijing, Chongqing, Hong Kong, Urumqi"
76,(UTC+08:00) Krasnoyarsk
77,(UTC+08:00) Ulaan Bataar
78,"(UTC+08:00) Kuala Lumpur, Singapore"
79,(UTC+08:00) Taipei
80,(UTC+08:00) Perth
81,(UTC+09:00) Irkutsk
82,(UTC+09:00) Seoul
83,(UTC+09:00) Tokyo
84,(UTC+09:30) Darwin
85,(UTC+09:30) Adelaide
86,"(UTC+10:00) Canberra, Melbourne, Sydney"
87,(UTC+10:00) Brisbane
88,(UTC+10:00) Hobart
89,(UTC+10:00) Vladivostok
90,"(UTC+10:00) Guam, Port Moresby"
91,(UTC+10:00) Yakutsk
92,(UTC+12:00) Fiji
93,(UTC+12:00) Kamchatka
94,(UTC+12:00) Auckland
95,(UTC+12:00) Magadan
96,(UTC+13:00) Nukualofa
